ObjectName,AverageHeightMeters
Smart speaker,0.15
Virtual reality headset,0.1
Tumbler,0.2
Electric kettle,0.25
Electric razor,0.15
Packaged goods,0.3
Kid bike,0.8
2D barcode,0.01
1D barcode,0.01
Water bottle,0.25
Tortoise,0.2
Cooker,0.9
Container,0.5
Magpie,0.25
Sea turtle,0.3
Football,0.22
Vacuum flask,0.3
Ambulance,2.5
Ladder,2
Toothbrush,0.18
Syringe,0.1
Sink,0.2
Toy,0.3
T-shirt,0.7
Organ,1.5
Cassette deck,0.15
Apple,0.08
Paddle,1.2
Snowman,1.5
Beer,0.25
Bridge,10
Board game,0.05
Parking meter,1.5
Traffic light,2
Croissant,0.05
Cucumber,0.15
Radish,0.05
Towel,1
Doll,0.3
Notebook,0.02
Washing machine,0.85
Glove,0.25
Vinyl record,0.01
Tick,0.01
Belt,0.05
Sunglasses,0.05
Action figure,0.15
Banjo,0.9
Cart,1
Ball,0.2
Backpack,0.5
Bicycle,1.1
Sweater,0.7
Stadium,20
Home appliance,0.5
Centipede,0.02
Boat,2
Lighting,0.5
Surfboard,2
Chopsticks,0.25
Boot,0.3
Headphones,0.1
Hot dog,0.15
Shorts,0.4
Bus,3
Camera lens,0.1
Screwdriver,0.2
Bicycle wheel,0.7
Flash,0.1
Barge,3
Battery,0.05
Laptop,0.03
Miniskirt,0.4
Drill,0.25
Dress,1
Bear,1.2
Waffle,0.05
Pancake,0.02
Brown bear,1.2
Woodpecker,0.2
Blue jay,0.2
Pretzel,0.05
Bagel,0.05
Teapot,0.2
Person,1.7
Bow and arrow,1
Swimwear,0.5
Brassiere,0.2
Bee,0.02
Bat,0.3
Starfish,0.05
Popcorn,0.05
Burrito,0.15
Chainsaw,0.4
Balloon,0.5
Wrench,0.25
Tent,1.5
License plate,0.15
Lantern,0.3
Toaster,0.2
Flashlight,0.2
Tiara,0.1
Limousine,2
Necklace,0.5
Bracelet,0.05
Scissors,0.15
Computer keyboard,0.03
Printer,0.3
Traffic sign,2
Chair,0.9
Shirt,0.7
Poster,1
Thermostat,0.1
Cheese,0.05
Sock,0.2
Fire hydrant,1
Barbecue grill,1
Earrings,0.05
Tie,1
Cabinetry,1.5
Suitcase,0.7
Bodysuit,1
Business card,0.05
Vest,0.6
Muffin,0.07
Bidet,0.4
Expresso machine,0.35
Snack,0.05
Snowmobile,1.2
Clock,0.3
Camel,2
Figurine,0.15
Cattle,1.5
Jet ski,1
Coat,1
Suit,1
Desk,0.75
Cat,0.3
Bronze sculpture,1
Juice,0.25
Basket,0.3
Gondola,2
Beetle,0.02
Cannon,1.5
Mouse,0.05
Wine bottle,0.3
Comb,0.15
Slipper,0.05
Stuffed toy,0.3
Cookie,0.05
Fountain,2
Wine cooler,0.85
Coin,0.01
Calculator,0.03
Cocktail,0.2
Menu,0.3
